"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","773.449974795376","728.668953273282","750.563986139039","725.357669071519","716.974967946431","769.755558876017","771.073887790447","758.049979932881","769.625406177062","739.27997299454","759.340820624786","758.866374976591","735.842665027109","738.836198936484","750.675974662709","771.124963500115","779.239280255164","775.826769763588","781.927143020707","803.871458761408","853.180955386049","871.374963823126","872.99903308307","913.640142178662","929.863941833479","930.560487957392","922.081354674747","909.721973801036","917.018703708194","","","",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066.79461218051","1049.99472403988","780.232893058774","892.634264323571","836.608629599039","957.775008708718","811.907140587037","1203.54271874097","1145.14798646176","1033.99807823704","1214.31547954866","1190.34507864943","1161.95867756778","1073.34520324316","1119.92613041193","1191.8822300237","1118.64521979987","1284.51034261624","","","",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1059.51933186443","1036.32184431474","1047.18250897734","1045.57497847114","1056.23334742564","1078.53145229492","1088.31351607876","1122.79618141391","1159.10763598159","1150.828467909","1173.85666858792","1571.18786396539","1656.65107233654","1712.01413154609","1811.67795694883","1851.4193051744","1901.36173120783","2022.76599513443","2066.90502903091","2176.09227931288","2201.24800208169","2377.79637849132","2475.02300207865","2623.3107476211","2727.84910138972","2810.77929731181","2887.15622189721","2922.80771032287","2950.44349440884","","","",
"Angola","AGO","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1471.6056292656","1540.35342832684","1634.75046081102","1565.00062337563","1664.1606156311","1613.26529080515","1549.21159561145","1506.77235821969","1592.61956506153","1564.70437181934","1616.86874827744","1624.14023369055","1838.67044764846","1953.32576259993","1957.99141253175","1903.69584993495","1699.9076800409","1573.956603921","","","",
"Albania","ALB","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2154.20399642415","1742.71899686591","1903.86895708073","2094.10371053207","2307.82983869555","2482.799298156","2607.26538059308","2759.47109830905","3018.60805468696","3131.7472893477","3326.38853501357","3500.20121341152","3733.22487489527","3909.47896959944","4428.61810994922","3817.87315253139","4139.5120947881","4783.10578239364","5188.42123109181","5057.19126899551","5106.41724554162","5239.14755445587","5121.63157467585","5133.27473251261","","","",
"Andorra","AND","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3503.92793654169","3549.51996368858","3588.03999646855","3633.26577433137","3579.9691983138","3930.69242420321","3925.30736712167","4191.02995728996","4309.40360540863","4161.35156906568","4496.31266696022","4667.33696385381","4561.11809605702","4507.10353727698","4638.14869091656","4819.41814615739","4546.50943714041","4602.02497158176","4915.37271242414","5203.10559594083","5668.95163310947","5870.35489711946","5994.41936849631","6152.60069559045","6292.9407128283","6263.7746544443","6359.2697988723","6816.60901593628","7600.37650157593","","","",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27036.3373102984","28129.4857630528","27179.1811467653","25672.6029250602","23065.8020543175","19268.0788906245","17164.6322490358","14049.4009886688","13393.0553021009","11802.3722825457","13094.1552020516","14526.8914289394","16193.0326161522","18046.0144046994","20357.3510866825","23313.3700070636","26880.4296899563","31003.9203083287","33053.0462723002","","","",
"Argentina","ARG","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","378339.437675535","318778.301279838","295846.418399231","317093.83225504","261026.628307823","202705.631970842","184375.104278286","201117.166807923","212201.562931369","229329.970916652","190819.093518241","161013.364836241","111730.57165864","100115.518148993","135067.102748295","158363.488739245","158123.37541973","143169.436806055","102120.110511047","136669.833880575","258328.157669273","229787.801952895","253639.829807253","294120.979809939","659467.953414414","1239978.81925191","2743919.11189924","1376881.49882399","2758230.53041405","","","",
"Armenia","ARM","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1172.55623609832","1082.59730921822","1081.24443781065","1162.51464291605","1246.30631158123","1334.89298680648","1315.68801604109","1482.42743978295","1552.65453253357","1554.74616673252","1768.83646017788","1873.71747143704","1998.90088698076","2327.65121064363","2634.01621354404","2707.42833915833","3041.74983643353","3161.03344783528","3340.04741038138","2763.45070792191","3028.00076818021","3393.2495462351","3672.82441892129","4161.24724505236","4733.99238098756","4781.08019277232","4892.90461713513","5863.6331858298","6135.49410189501","","","",
"American Samoa","ASM","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43947.105748111","44355.771827086","45937.9439618396","48400.0512374331","40823.5548997385","48174.0484670552","50875.2311531493","50840.3892391241","54150.6829108307","57121.4280611484","59822.5989167254","65596.8975709829","56321.8259953618","72619.1240092238","76503.7807769748","80518.9978337216","68881.3264605573","72640.1155011265","86549.5076914612","84134.1556940055","98162.1091519575","98623.5499933409","103616.288336969","97345.8419662545","102737.099538436","94351.9879690241","102052.294751093","96313.7533868038","86838.2488864252","","","",
