"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9666.49305326857","9090.4638309688","8794.27436841007","8746.92619483665","8264.00226364897","8343.32506522076","8384.16965462676","8277.62461635417","8331.41125636356","8718.5119491163","8826.047354814","10242.1182062296","10228.2367308641","10576.9207361189","11129.3114743563","11309.0985308438","11843.0164171889","11889.3450385055","11427.4375557179","11933.8232213491","11699.4831082472","11165.5296471046","11150.1884052974","11071.155300544","10917.807791946","10982.2985313807","10974.6663701472","11119.2523726189","10922.2645019811","","","",
"Afghanistan","AFG","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3192.34417034441","3216.8442988437","3498.83452569231","3534.91227053298","3760.39732078162","3831.37263715355","3890.10301728852","3718.57915250023","3582.27214323553","3748.78298769035","3556.26277864254","3427.99296413499","3257.07902765565","3154.91442315197","2974.04014212458","2996.39793912159","3129.49790766603","3145.51338563087","","","",
"Africa Western and Central","AFW","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12699.2919376789","13030.8973556754","12111.2163352969","11356.1416828942","10970.0732679632","11311.681925317","11368.9966683665","11291.7093684575","10661.8006453684","10783.6294632369","11006.0776320576","11001.3182699359","11683.3147495779","11555.1598186153","11696.8569997802","11209.1525554866","10889.0510807983","10615.714759983","10599.9908469857","10688.0802425029","11232.717426644","11055.1100166181","10797.4550971711","10844.2491609872","10297.0669042578","9673.3058294379","9701.71478989696","9670.0315583161","9667.24253704156","","","",
"Angola","AGO","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33387.6516922068","31721.33847961","34504.1599736584","41292.012963597","46455.4287779619","55319.0183661976","60667.5952543255","58104.1867911784","60194.7462243489","55196.4654171707","59100.2218481086","59439.2784930824","57329.9051303102","60680.7170036151","60569.8971578947","59066.6648961888","56492.3023147766","50056.9853234441","","","",
"Albania","ALB","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7994.60957341278","6510.29489749777","7212.33763904573","8287.54839150199","9085.18253584608","10019.9726350997","9823.37234062387","11373.424028621","11926.8550728284","12222.9657413167","12735.7040034882","12516.0144881448","12436.2967270258","11494.5356756746","11718.0851354574","11605.2403919929","12399.9716124724","14282.2865979093","13358.5566441127","12302.8435348002","11591.7091577633","11416.4263788289","11651.0665914766","11251.6610288916","","","",
"Andorra","AND","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33073.1031048009","33316.9713115701","32310.6576931777","31686.3125268303","31670.028986437","31532.0845619269","32344.9807693523","35972.0366995268","34225.7504044931","37803.3052604141","42498.3133076374","40987.0929014349","41441.3741871342","42348.873486157","40957.1091899256","40379.3067531938","38420.3928055053","37997.0188895787","34972.5770336644","35941.2095277523","38248.5931405797","37952.4602191085","37321.6427945145","37276.2655964693","37696.2079957603","37598.5518079658","36634.0433370595","36781.770057842","36703.6599901893","","","",
"United Arab Emirates","ARE","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160578.747897501","143503.085439359","138654.213311105","133250.080929666","118170.289612273","111144.351665798","88817.5100271966","76540.0807547245","62547.090940692","58804.9516280666","61851.9302741864","63205.09923345","65335.0643953459","66325.5282951049","69272.189224528","70918.6245025856","71199.8987328505","71470.3557023818","72942.3686574696","","","",
"Argentina","ARG","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17784.1714747832","19866.269564146","23248.4074410104","25635.330995156","28047.8395789569","30999.3042572333","31269.5161743659","31312.0150098453","30852.9974763849","31244.8023293978","31124.1664441806","30749.3412146643","30244.0492281172","30781.7691431359","31002.7865344936","32009.1994269898","32942.94754562","33549.7043461457","32168.5146582808","34442.1690314217","34648.7971901426","33954.7254850152","33396.6844949261","31886.9568385887","32537.9311855104","31265.0020044674","32198.4102277011","31466.5381555","29785.6991394812","","","",
