"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4614425200511","24.214374406538","24.336237123112","24.4126086703551","24.585694887077","24.9643945364293","25.024843287699","25.1392210741596","25.3831170343029","25.54485957871","25.5513381172259","25.6869981052567","25.8602549827049","26.0372994111729","26.1872494864195","26.8856786987959","27.5244315119851","28.2778871647171","28.6426004290822","29.1694786267081","29.976493821571","30.5813797703719","30.5916828396525","31.2222993237364","31.6275199949603","31.930327894452","32.2834474000682","32.7265690378113","33.2618059073914","32.7197746754223","32.8268334626604","",
"Afghanistan","AFG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.63666","26.49732","26.18739","26.10055","26.0137","26.13939","26.097","26.09583","26.05402","25.89226","25.58333","26.64078","26.9208","26.83834","27.28587","27.57524","28.35011","28.69704","29.89823","30.99876","31.54241","32.63066","32.82068","33.15474","34.67963","36.34907","37.98457","37.48273","37.14797","35.53528","","",
"Africa Western and Central","AFW","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3319121312752","29.4970568887494","29.5736842512351","29.7631688703357","29.9390449387886","30.227793722993","30.6250080609797","31.0631084356216","31.4412849542012","31.883026021837","32.3355903697534","32.7536983511118","33.3608813156848","34.0318810859648","34.6806827446837","35.3010825144797","36.1500564091552","36.9900762616862","37.8402709497537","38.8133282222524","39.4236653571014","39.8075713003572","40.0602453272102","41.2172937196816","42.1011535938144","42.1660299478757","42.4973463959599","43.0782876562982","43.2132936295902","42.8777893157645","43.0697361995508","",
"Angola","AGO","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.20084","51.22312","51.03524","50.8728","51.36396","51.85139","52.29617","52.53391","52.65963","53.0197","53.4778","54.42522","54.59285","54.73819","52.96322","51.18203","49.31775","47.54154","45.74208","43.25785","40.81905","38.56218","36.4038","34.31015","34.05228","33.6897","33.50571","33.29807","33.23489","33.29944","33.54617","",
"Albania","ALB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.31496","34.6277","34.74784","34.85455","34.94572","35.49252","36.13154","36.42371","36.62905","36.90111","37.13358","37.45721","37.80267","37.19139","37.85345","38.27727","37.98229","37.56615","36.00767","37.32266","35.7473","36.72911","38.92402","40.00288","40.04666","40.57934","42.54037","42.96861","43.43248","43.67657","43.81918","",
"Andorra","AND","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.04408627091","44.8960574266451","45.8566606205934","46.1945390423822","46.6659967988661","47.0795715744643","47.6633767216673","48.2857809093349","48.921238227755","49.3126212842314","50.1845696942141","50.9735629300549","51.268585245593","50.8244624250864","51.0893144378273","51.4611432559015","51.5925235777005","51.941846164896","52.551588084798","52.8521306781851","53.7298545468005","54.3809514788452","54.7203011978084","54.9800680215963","55.5666871861936","55.679672086412","55.7051749322444","56.8193442973642","57.3021244249699","57.6507667143089","57.914192377072","",
"United Arab Emirates","ARE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.73156","61.89998","62.08304","62.36803","62.61483","62.72156","62.70331","62.75359","62.92167","63.19686","63.96831","64.81511","65.23808","65.72163","66.42185","68.22105","69.84938","71.34695","70.08964","69.43792","68.80829","68.0585","67.08466","65.94819","64.40793","63.13035","63.81432","63.93931","68.91404","70.63981","71.12548","",
"Argentina","ARG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.31369","57.91496","60.33453","61.45389","62.80433","64.74922","64.45635","65.25354","66.47604","67.43851","68.20449","69.57223","68.36423","67.92665","67.83768","67.89296","67.93166","68.05446","69.02606","69.08379","68.91944","69.40355","69.28424","69.20337","69.47453","70.38305","71.3932","71.95396","72.10028","71.85657","72.39687","",
"Armenia","ARM","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5742","32.51033","32.62216","32.85721","33.2534","33.66646","34.09027","34.65557","35.24937","35.91196","36.85768","37.76212","38.99034","40.26542","41.25066","42.05512","42.84911","42.87894","43.46643","43.99019","44.38723","45.07051","46.72088","48.44566","48.76054","50.61679","51.94781","52.52706","53.04035","52.05572","52.18599","",
"American Samoa","ASM","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.13663","71.65638","71.58603","71.93378","72.59978","73.02758","73.23985","73.64513","73.90285","73.52741","74.50613","74.70319","75.20395","75.02155","75.28593","75.30509","75.4982","74.37629","75.62499","75.79279","76.34763","76.49355","76.93018","76.22149","77.29784","77.66951","77.97387","77.49549","78.38329","78.0429","78.81398","",
"Austria","AUT","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.34464","60.42218","60.99699","60.34045","60.5633","62.27412","63.46513","63.95119","64.00951","63.92462","64.82991","65.38906","65.57684","68.36499","67.15145","66.59413","67.14898","68.51261","69.70778","69.87863","69.0369","69.24469","69.51681","69.41177","69.70473","70.0892","71.14786","70.87047","70.98798","71.03996","70.64068","",
"Azerbaijan","AZE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.45982","33.27045","35.8069","36.59377","36.90445","39.19004","42.63786","46.57841","46.51344","48.11174","49.22475","48.28661","48.90165","48.55742","48.60527","48.09956","48.82541","48.27663","49.20609","48.05323","48.04268","48.05969","48.52444","48.94229","49.58045","49.33506","49.58386","49.87367","50.42796","50.2065","50.36796","",
"Burundi","BDI","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.21141","6.212398","6.015683","5.898704","5.612448","5.247151","5.20472","5.589503","5.711309","5.831591","6.057759","6.368605","6.439325","6.433367","6.717655","7.146318","7.58367","7.903592","8.210623","8.65173","9.105044","9.562181","9.910761","10.31827","10.17777","10.19989","10.21812","10.35943","10.48554","10.41253","10.53029","",
"Belgium","BEL","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.88816","66.47986","67.91058","68.23383","69.06874","69.62102","69.79702","70.51718","71.83581","72.27866","73.13207","72.4258","73.35963","72.84267","73.27497","73.3527","73.71697","73.77471","75.03851","75.27293","75.46578","77.07188","76.93661","77.38875","77.38938","77.48555","78.07954","77.94312","78.24387","78.66236","79.69384","",
"Benin","BEN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.24589","26.4314","26.7008","26.84144","27.35815","27.51511","28.03075","28.42176","28.96232","29.81138","30.55145","31.01733","31.74316","32.20763","32.5254","33.14082","34.26226","35.37292","35.9893","36.62353","37.83463","39.55273","41.44558","43.11547","43.99383","45.03294","46.56183","48.01049","48.97603","49.06847","49.3418","",
"Burkina Faso","BFA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.594772","7.551398","7.647407","7.532364","7.943784","8.561215","9.058515","9.547685","10.16635","10.54289","11.01455","11.42884","12.0052","12.58494","13.23338","13.90201","14.29286","14.37418","14.6608","14.98758","15.35733","15.80405","16.35218","16.63252","17.00526","17.47134","18.01292","18.37849","19.02568","19.38925","19.66124","",
"Bangladesh","BGD","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.46399","24.28912","25.15908","25.96204","26.75982","27.6049","27.99479","28.40398","28.78228","29.16128","30.93862","32.74247","34.58396","35.95868","37.40603","37.40464","36.86686","36.28503","35.67736","35.0664","34.79112","34.48207","34.11192","35.06317","35.98689","36.87573","38.98337","39.90997","40.72791","40.87996","41.19604","",
"Bulgaria","BGR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.49435","41.497","43.01947","44.30917","45.36268","46.93471","48.69353","50.28173","52.19281","53.97086","57.53905","56.63186","56.73088","56.33766","56.81929","57.41943","56.95535","56.09975","57.67229","60.20577","61.76622","62.23808","63.15318","62.8768","63.24919","63.45699","63.08666","63.30896","63.35678","63.09319","62.86256","",
"Bahrain","BHR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.03995","69.16948","69.14926","69.42138","69.61067","69.82934","70.02464","70.18848","70.16055","69.90533","69.86436","69.74667","69.4091","68.66184","67.72688","66.58092","65.54461","64.43514","64.32471","63.19304","63.66022","63.82226","63.80118","63.70345","63.76809","63.7284","63.68075","63.78955","63.91727","64.11069","64.09327","",
"Bahamas, The","BHS","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.42878","79.44837","82.29113","81.65562","81.41549","80.20583","81.5144","81.17929","79.24949","78.89597","78.75168","79.59319","81.15152","79.49683","78.68061","79.1907","79.73988","80.80871","81.05608","82.2516","83.36709","83.66185","84.32499","84.4645","84.80502","84.89702","84.89369","85.04999","85.12869","85.16857","85.07281","",
"Bosnia and Herzegovina","BIH","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.73173","41.11814","41.48119","41.69391","41.86197","41.74016","42.08429","42.37832","43.26593","43.85423","44.93095","45.82679","46.6889","47.37715","47.99689","48.70129","47.60463","46.95047","47.30009","49.44634","51.50644","49.08192","51.31868","52.91769","52.64518","50.76654","51.62328","52.14073","50.32574","54.6624","54.3778","",
"Belarus","BLR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5239","38.22269","39.7216","41.64048","42.60213","43.55164","44.44772","45.4583","46.4179","47.19817","48.30532","49.13196","50.01997","50.67279","51.46576","52.18407","52.94858","53.50086","54.54559","55.3045","55.98426","56.78979","57.68269","58.51739","59.23933","59.56834","59.56657","59.57573","59.56423","59.50628","59.36135","",
"Belize","BLZ","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.32354","55.6383","56.0949","57.36171","55.03395","54.35483","51.84594","57.0013","55.54042","56.54417","57.96181","59.25441","60.39194","61.48371","62.56279","63.2062","64.03667","64.65274","65.43956","66.009","66.56358","67.06215","67.60668","65.44081","66.49646","65.73183","66.8863","65.08696","67.43519","60.34448","59.8785","",
"Bermuda","BMU","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.93471","38.17157","38.42653","38.70663","39.0532","39.48236","39.79089","40.27562","41.13832","42.44239","40.11174","39.86006","44.39715","44.39732","41.99666","43.04074","44.22998","48.74683","49.23988","49.35585","49.12232","51.30966","50.52404","48.39862","49.37376","49.37768","49.37466","49.34846","51.49286","51.9377","52.22957","",
"Brazil","BRA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.85861","57.66735","58.01966","58.64315","58.89697","59.9077","60.04392","60.79375","61.05313","61.4387","61.66565","61.14073","61.53407","60.96392","61.12065","62.15362","62.52433","62.63841","63.58671","64.54729","65.41436","65.30732","65.67308","66.53628","67.38873","68.77688","69.83913","70.41639","70.73445","70.28353","69.678","",
"Barbados","BRB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.35897","74.08929","75.36688","75.82928","75.79539","76.16579","75.53067","74.69242","74.281","75.89129","76.16531","77.21558","77.83823","79.25224","80.61794","79.88925","80.02003","79.48541","78.74724","77.93354","78.03088","78.43524","78.37298","78.82166","77.74997","77.87772","77.59064","78.66367","80.25386","80.54092","80.57269","",
"Brunei Darussalam","BRN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.81495","73.99654","74.48445","74.95535","74.84286","75.29232","75.798","76.22419","76.95737","77.11732","77.20193","77.57842","77.95199","78.37176","78.79691","79.09106","79.50095","79.86366","80.29559","80.60177","80.76022","80.99702","81.32082","81.70865","81.98971","82.31007","82.5143","79.53496","77.28337","74.94786","74.384","",
"Bhutan","BTN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.18638","21.28476","21.41886","21.54984","21.74633","21.94287","22.15021","22.40156","22.63994","22.87078","23.19211","23.65605","24.3056","25.06726","26.39756","29.64974","32.45289","35.00533","37.45799","39.20268","35.56795","33.81163","32.69754","32.52675","32.35302","32.68281","33.21492","33.5642","34.06758","33.63029","33.87979","",
"Botswana","BWA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.86292","58.08451","58.23079","58.29751","58.66421","59.13237","58.33471","56.98524","57.99905","58.89005","57.15091","56.73679","56.14486","56.18803","55.89655","55.40755","55.87291","56.4389","56.79744","56.63594","57.81457","59.23833","60.46271","61.5741","62.45633","63.2701","64.08686","64.74372","65.3532","62.22303","62.20663","",
