"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6569.51407978192","6396.95803118736","6587.61018565198","6477.07215998369","6420.88755780295","6379.32380845662","6363.0239644249","6327.92003339727","6330.1810397437","6312.33419672076","6354.77845613952","6394.79157598889","6469.39526488383","6466.65188725342","6639.88058875103","6533.58531102148","6685.87059322679","6776.71745999018","6855.79251215121","6959.74711639904","7013.82189480807","6971.62602584799","7075.40507743316","7071.49565566953","6935.22388537577","6809.79563080499","6728.52699259952","6579.38928053141","6326.74431744627","","","",
"Afghanistan","AFG","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2156.04111804755","2245.46184751065","2388.09223557241","2365.93291948594","2422.68215198446","2765.20345917691","3056.54573912932","3397.72122589922","3756.49075512864","3839.81392945396","4015.91774543851","3990.08220003555","3849.81680542148","3644.98344177073","3454.68681600087","3198.07722646546","3104.18059276283","2907.21690273802","","","",
"Africa Western and Central","AFW","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4847.87011741628","4777.85947067185","4658.77378582974","4592.60816812643","4545.52208176601","4495.09209124402","4495.07418380723","4502.13318324878","4498.94670802142","4385.9972095426","4434.52412904331","4594.37209598899","4526.98953328091","4986.08625959623","5139.79537752578","5306.68082278603","5548.03160341001","5928.46354366635","6184.70204810619","6534.54166108256","6523.78149412929","6756.45593436877","7137.99103814881","7309.94826260026","7211.83030388413","7131.16070655451","6855.82023382114","6671.20333247054","6540.20600117846","","","",
"Angola","AGO","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6164.29212248593","6267.63443956964","6490.11410165216","7017.5002326005","7617.25857393023","8026.17484385199","9070.81341975707","9924.65341085049","11450.436942834","12652.2595247271","12893.4840539916","13362.3874532326","14123.2822141643","12912.8212279023","11752.5228484622","11406.4126404031","10955.5405610221","10579.3414973417","","","",
"Albania","ALB","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2980.69150680899","2593.58486793609","7063.64838509146","7884.07230441298","7628.95804887107","8155.19747713909","8369.67315369697","8364.40554565917","8702.26257235","9194.62985667662","9598.7850270583","10284.0957577498","10525.929878296","11723.8143557686","11657.5833807167","11128.7439310361","11653.8608004543","12110.9059472568","12577.401772736","12196.9003542534","12043.2468555938","11785.1160043355","11345.5360759815","11844.2819078509","","","",
"Andorra","AND","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14185.3199190728","14611.1868530726","14548.2978578315","14087.4056157674","13543.9024765373","13548.1025784233","13513.8116514108","13723.0691050391","13155.4848983996","12804.1105175622","15355.56534401","15498.4816761405","15354.4634793029","16564.8224982636","17030.0084776544","17494.3100235029","18089.3659491369","18535.7185201693","18372.1848065803","19479.5049130081","20583.2521262879","20993.909735965","21441.8891867944","21835.7916899868","21813.5825848274","21712.1073488097","22112.1632309094","21703.155819984","22587.0309269164","","","",
"United Arab Emirates","ARE","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75490.2400945356","77327.2799594619","78041.6547573994","75990.1945036296","70530.8758446826","62620.3732437345","59155.6519959915","51918.4158540065","43706.0759053307","39805.2355966728","39767.4230868821","40996.618593635","43606.000298096","46647.9184950016","48528.289151111","49976.1037939138","52077.3294405258","51523.0017846494","51207.2600222087","","","",
"Argentina","ARG","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17911.1695164466","18813.4426246061","19812.1518015696","20726.7233596198","21345.5641697597","21099.5915921715","21831.2303645541","21668.9289225885","20972.8950921067","20696.6711803497","19949.8056418457","18047.4972337065","17920.2994741345","18558.9287106449","19714.3265939651","20732.1267221407","22290.5666333217","23294.0822028551","22333.5089823212","23747.0388087122","24676.6553601597","24459.7308163745","24776.5272547323","24361.6664740232","24393.605480922","23782.0427291472","23926.0977541546","23247.1492493611","22314.6008829624","","","",
"Armenia","ARM","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1760.15581076407","2852.80034366856","2348.97615863086","2616.90774580372","3082.69635404892","3369.64895321706","3602.03096331375","3691.0095254614","3906.20645520716","3644.67600231744","3946.02938970295","4536.36147538324","5036.73013139144","5619.82465842591","6465.52731212196","7776.99986036205","8468.68072532845","9416.89376491511","9247.13105252427","9546.34941727857","9011.16511301475","9156.58486165293","8892.27867444624","9387.46303899908","9601.89344154675","9710.27882250813","10576.1026466414","12381.2034787688","13797.0153241042","","","",
"American Samoa","ASM","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98656.746803735","","","","","","","",
"Austria","AUT","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72311.4686342889","72274.063342017","71754.4576626014","69725.1086742287","71695.1364207141","72379.4265003825","72769.8702618925","74991.1393626611","76153.6617883696","78991.0670181369","78571.8939147815","78960.1161076604","78757.1789801367","80499.1506088794","81246.5912226213","83607.2829898556","83413.7671953395","82151.6696543138","79973.9306970077","80175.4350532833","82638.223757592","81996.4951773255","81318.2972797613","82093.429542845","81895.4166757479","81541.2539312096","80882.1309766594","81768.8908047856","82115.6606567797","","","",
"Azerbaijan","AZE","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3847.75253716835","3259.3617113499","3066.68148260165","2698.0908061879","2524.50859014245","2561.0193902394","2588.84641893794","2980.80415203974","3074.81655853309","3345.91106377416","3598.28885224449","3835.94579984236","4100.18054655691","4302.5773467019","5053.30310047085","5518.43909865023","6200.88411788001","6431.36812669827","7059.16576244124","7470.73493140593","7977.89038443789","8426.60151584131","9020.14269227611","9389.99633283307","9137.41917426779","9472.72214351248","9889.12517158798","10215.3843893541","","","",
"Burundi","BDI","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7889.52330209272","7531.49600483274","7551.10703038229","6771.92315374238","5941.11795671404","5183.0277203175","4568.13591800529","3963.37078606524","3622.08658050342","3594.21849399155","3899.40639014151","3844.80903857502","3766.0301243745","3692.27166386516","3686.80709347844","3673.73467138317","3519.83977102837","3577.06033105392","3498.03952709012","3399.29358740606","3307.80279599033","3182.14806069352","3073.87364119557","","","",
"Belgium","BEL","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82549.096770137","82366.7259617425","83674.5384604489","84047.1151106413","82887.2237486462","81983.5848140789","84228.5733184827","86611.6911321206","86812.5495503458","87742.7278628482","87514.021215578","89432.9135023668","89549.6883210418","89662.2924095154","87660.5912106316","87932.7813546902","88864.4381514676","88112.9726622042","88748.7547451982","88990.7794812794","90332.4541087773","90870.1400256296","90363.083791304","90668.650963654","90392.3321570051","","","",
"Benin","BEN","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2861.24112946501","2826.61643967112","2835.79400314398","2735.30886373369","2788.92133313351","2738.43684731895","2784.37419448484","2780.04013826927","2814.95316149786","3016.9378056659","3088.85305127365","3021.68786488463","3043.64661245078","2986.08418151492","2996.61857151995","3021.01887945974","3115.51168284295","3357.29889091739","3213.34202778815","3160.02315682531","3347.8193972679","3371.641946805","3485.67933528571","3479.38823276379","3332.70257876452","3237.72509930347","3251.98730212155","3268.64168206958","3272.67097221728","","","",
"Burkina Faso","BFA","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5667.16488886353","5340.29411466857","5092.26217381272","4610.58500432681","4426.52929770577","4449.32453597216","4279.68227402145","3914.47094329596","3478.38892374343","3421.61510631006","3275.30090598437","3142.55929121129","2918.01261687912","2841.47150897579","2776.8804761546","2742.71492421066","2584.03348970269","2418.20426506108","2356.64367107807","2208.61963596854","2176.82277866737","2203.5279972909","2187.92988908721","2182.57574836655","2091.98347095628","2027.42449189057","1962.17666685849","1863.89041882728","1915.40047294389","","","",
"Bangladesh","BGD","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5285.02192651771","4919.48204604423","4563.80269714678","4246.1949517386","3966.95356117084","3686.7034555612","3792.97625509411","3903.72110657293","4008.85136214742","4140.84896979333","3957.90804609136","3776.5748851457","3611.48438025355","3459.06076529298","3351.26085340215","3263.60785318019","3476.75633748442","3688.89606833608","3906.51322982533","4055.58114944029","4205.59815213829","4379.67120614684","4518.22729891975","4644.11090819851","4786.10188435969","4956.10596577491","4723.07451534535","4822.13905148712","4973.30418929314","","","",
"Bulgaria","BGR","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21637.5989184474","15309.8594508743","15072.4187012462","14268.680858875","14492.5143894828","14819.7220213328","10739.368017526","11722.1492296843","10045.9605060832","10609.0455610459","10513.3324423008","11629.2046037039","11584.4119716281","11832.7531602342","12766.0210789687","12951.2132085634","13435.5839166128","13636.8005784027","13886.5580771881","15081.1147582293","15474.3968507943","15432.9977789334","15108.638461095","15193.5397327688","15494.608274109","15913.9589714571","15964.8126343267","16808.5274113976","17125.6525600842","","","",
"Bahrain","BHR","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33982.9750985159","34212.2725370076","34001.2878892673","32730.2765591434","33149.773041854","33132.0000942665","35064.2079101765","35805.3351247817","36971.3238641921","37165.0220790154","37031.1888541097","37322.9811814698","35824.8400895687","33255.5662222371","","","",
"Bahamas, The","BHS","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78282.9004822565","80409.9236350157","75895.6085060868","76038.7267368085","75953.3740186149","79306.8889172054","63699.9980675097","63380.6130491631","70508.6113865499","70134.7683292534","71775.762886561","72490.8945641882","68903.9241865509","70295.1946709149","72113.1906316634","66988.1425859463","69062.8030474817","64175.2702296497","64187.7332858249","63080.3477007845","61441.9576314842","60454.844799451","59951.314182334","58768.3347286996","57774.5964165954","58156.0187235172","55969.9906864944","55922.5805977704","54989.8088332425","","","",
"Bosnia and Herzegovina","BIH","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15914.4724224341","16673.9884791069","17159.3935618274","16527.6076012025","16313.1197658382","16298.8668740353","16250.7035734607","17407.7571725085","16922.9349630988","16727.8362099366","17805.6843640133","18212.2067240143","17743.3212338759","17727.922983372","18432.011270263","","","",
"Belarus","BLR","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6149.54237068472","5341.85699164075","5056.95219179485","5350.40767999817","4780.99639013021","5247.44463643491","5417.98141345628","5703.5618689426","5959.63035043046","6094.41946565188","6337.70146178236","6374.17440891796","6491.30205244951","6787.34790098178","7175.83815156182","7616.65530769529","7815.3399769507","8052.37150245609","8000.08491892681","8634.51893554653","9227.72355414465","9055.91067376228","9508.95659410098","9717.6822089733","9471.7354076137","9297.44310793631","9458.72685720707","9741.61066539213","9956.33757424468","","","",
"Belize","BLZ","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11171.5974104522","12274.7238106853","12742.8576686034","12652.011886118","13071.8938917817","13040.324071069","13243.1281682865","12266.7342164784","12682.7583505341","12882.3818484371","12588.0766683097","12804.278730542","13053.1743215317","12772.3920118","12504.8786051675","12138.4751220867","12130.3696013013","11798.6532502131","11414.948177132","11377.9375281414","11096.1165140957","10908.759716842","10586.0971129939","10528.9181003915","10727.9147911452","11015.9349888087","10852.1291171831","10717.4280691138","10650.4051866448","","","",
"Bermuda","BMU","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5160.78490457697","5231.38029023458","5279.45548226778","5319.20024198401","5316.71954621775","5413.42474307252","5621.30830022209","5779.02661075422","5791.39751262217","5577.70494235796","5832.61682206205","5783.39214819882","5108.37156979044","5079.30631696431","5335.22602535363","5261.73283982377","5310.87547568306","4881.07725331036","4971.99650311857","5096.45502967478","5203.36547980329","5328.76082071147","5606.79813743483","5875.23729107997","6403.4580143483","6598.00782586497","6657.83375328544","6583.75000550489","6578.87787687504","","","",
"Brazil","BRA","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17272.2265420446","16833.789368418","16614.7432657594","16618.4359148984","16379.5523617376","16865.9365253026","16811.6113768819","16585.4292885007","16375.7709613194","16372.9595588003","16165.0111986286","16240.9821631649","16070.4089046636","16358.9395136809","16525.1459912418","16608.0251107624","17246.0682591515","17610.0501162783","17729.2598517934","18356.9904041196","18598.5251941712","18747.4771550552","18856.7537084107","18537.017041123","17849.5647172539","17564.5886909984","17372.4199234696","17288.3464726213","17104.5805841294","","","",
"Barbados","BRB","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29692.9027243795","29815.5279350237","29591.6280741452","29093.5105588421","28973.7724733546","27735.0841993992","28702.645217124","27454.3336686096","26527.1139122276","25999.7768491541","26974.2766206454","26913.9960624477","26526.025423042","26296.2613092803","26562.0613604737","28046.2912187208","30293.9982268722","30361.9199156875","30565.5604771131","31015.3306212077","31719.6087810585","32850.0011678377","33887.3078092147","33557.4207872341","32732.024385477","31827.1366596169","31861.3515073299","31989.9880668462","33847.4538168188","","","",
"Bhutan","BTN","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2372.91617048215","2360.17640854985","2497.47569540124","2547.66735563446","2651.61124080936","2909.47210682476","3123.26426451469","3331.41629206566","3395.12396040061","3623.93959554665","3659.51110492699","3718.17540831179","3847.30138917799","4067.18218171369","4450.87692291743","4605.49068203098","4668.94419890962","4644.61795187357","4991.01050623917","5405.83804544535","6778.30745261803","6614.35185685248","6377.79314610819","6950.87838885808","7034.94257399359","7412.40595188433","7617.0815960223","8010.21409547443","8710.76648754699","","","",
"Botswana","BWA","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7959.50955300328","8425.25298943733","9234.47069419918","10255.3662876486","10913.2290659336","11585.9635352651","12131.1495718568","12339.4321548305","12670.487755919","11770.2125697523","12310.5603028428","13219.458958916","13993.0387998919","13075.3093046136","12789.4848052919","13199.6303139021","13839.7758023021","14537.2297121357","14629.6771190763","16505.1704367052","16416.2780110914","16349.3697988401","16834.9774702426","17513.4270441701","17329.4209776384","17898.7466072477","18158.8410879529","18222.3202011614","18366.9079639238","","","",
"Central African Republic","CAF","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009.65270165006","2110.37231486073","2158.76562036132","2172.03622590802","1842.01685103593","1895.52770518324","1924.76763210285","1920.1195713306","1950.28171049262","1951.85412748581","1930.52615860807","","","",
"Canada","CAN","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62093.1771189156","63095.6120718335","64255.5061866155","65746.2059742183","66156.190806371","67005.3714713431","66526.9633254058","67494.9609330864","68612.1327991816","69380.0271067649","69192.1766115125","68894.5020042567","68550.6518022192","69012.3400594309","70117.7339959957","70627.7239246535","71028.6301246001","72271.550904839","72581.2920436896","72943.6545743688","73334.1461752995","74017.0993088054","73930.0381675375","","","",
"Central Europe and the Baltics","CEB","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18315.8587018225","18935.6060191144","19210.1376827505","19618.9237057812","20145.1819558214","21346.0938509126","21964.5886228889","22844.3302956213","23040.8517670459","23560.9788403444","24292.749105503","24677.3512608278","25687.8216794459","25853.1729633753","25147.5339896759","25437.2780713737","25881.3989998885","27127.1122988631","26975.7241039161","26932.277561949","27389.9046851698","27909.3076202369","28802.8372444514","29799.636950826","30918.7999251755","","","",
"Switzerland","CHE","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127555.467176408","125815.603038027","125210.155574988","126828.18047071","128895.529044307","126009.342474363","128493.967731004","130462.441459876","130548.95965838","136739.783230622","134096.635729846","131172.395717503","129737.495827652","133424.49197447","136324.695951949","138935.799616752","141850.26356364","142051.007421042","139348.632771144","145481.317447869","142407.404067278","142779.953733347","144290.900960321","145189.806520894","145106.55515572","145416.67752857","144832.64577254","146569.335968713","145914.503352102","","","",
"Channel Islands","CHI","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Services, value added per worker (constant 2015 US$)","NV.SRV.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14147.6134130349","15022.0290955411","15339.7809333097","15575.3603379069","16357.425348005","17770.7890273234","18436.6243339548","18393.525484403","18456.5889104796","19053.7933222099","19656.7491120478","20053.2709083627","20278.1116032967","21179.2230045527","21545.0792445449","22369.665710382","23098.1871027485","23370.55663019","23123.1652157301","23060.2731475472","23781.3093360323","24747.9346702211","25027.4958860073","25167.5209998302","25312.5408505086","25573.8880412471","25282.0928747537","25600.61742738","25591.989525832","","","",
